Datetime,MCP
"2023-01-01 00:00:00",2500.38
"2023-01-01 00:15:00",2650.55
"2023-01-01 00:30:00",2691.84
"2023-01-01 00:45:00",2450.92
"2023-01-01 01:00:00",2450.71
"2023-01-01 01:15:00",2450.38
"2023-01-01 01:30:00",2450.68
"2023-01-01 01:45:00",2650.67
"2023-01-01 02:00:00",2650.52
"2023-01-01 02:15:00",2600.03
"2023-01-01 02:30:00",2650.86
"2023-01-01 02:45:00",2450.44
"2023-01-01 03:00:00",2450.54
"2023-01-01 03:15:00",2450.34
"2023-01-01 03:30:00",2450.32
"2023-01-01 03:45:00",2450.3
"2023-01-01 04:00:00",2768.73
"2023-01-01 04:15:00",3500.89
"2023-01-01 04:30:00",3501.84
"2023-01-01 04:45:00",3501.55
"2023-01-01 05:00:00",2600.87
"2023-01-01 05:15:00",3229.03
"2023-01-01 05:30:00",3570.83
"2023-01-01 05:45:00",3039.88
"2023-01-01 06:00:00",3774.84
"2023-01-01 06:15:00",4260.91
"2023-01-01 06:30:00",5529.62
"2023-01-01 06:45:00",5529.23
"2023-01-01 07:00:00",4900.39
"2023-01-01 07:15:00",5799.15
"2023-01-01 07:30:00",5400.3
"2023-01-01 07:45:00",5799.55
"2023-01-01 08:00:00",5000.43
"2023-01-01 08:15:00",5529.39
"2023-01-01 08:30:00",6000.16
"2023-01-01 08:45:00",6000.01
"2023-01-01 09:00:00",6000.14
"2023-01-01 09:15:00",6000.34
"2023-01-01 09:30:00",8200.28
"2023-01-01 09:45:00",8200.14
"2023-01-01 10:00:00",8753.09
"2023-01-01 10:15:00",6999.85
"2023-01-01 10:30:00",8750.48
"2023-01-01 10:45:00",7335.69
"2023-01-01 11:00:00",5899.06
"2023-01-01 11:15:00",4200.98
"2023-01-01 11:30:00",4199.19
"2023-01-01 11:45:00",4000.89
"2023-01-01 12:00:00",4774.45
"2023-01-01 12:15:00",4999.18
"2023-01-01 12:30:00",4630.15
"2023-01-01 12:45:00",4000.79
"2023-01-01 13:00:00",3001.83
"2023-01-01 13:15:00",3400.22
"2023-01-01 13:30:00",2950.93
"2023-01-01 13:45:00",3120.84
"2023-01-01 14:00:00",3681
"2023-01-01 14:15:00",4260.53
"2023-01-01 14:30:00",5000.25
"2023-01-01 14:45:00",5349.21
"2023-01-01 15:00:00",4696
"2023-01-01 15:15:00",4001.41
"2023-01-01 15:30:00",3800.36
"2023-01-01 15:45:00",3899.47
"2023-01-01 16:00:00",4001.64
"2023-01-01 16:15:00",3799.7
"2023-01-01 16:30:00",3558.45
"2023-01-01 16:45:00",3558.67
"2023-01-01 17:00:00",2900
"2023-01-01 17:15:00",2150.47
"2023-01-01 17:30:00",2369.64
"2023-01-01 17:45:00",2700.31
"2023-01-01 18:00:00",4450.96
"2023-01-01 18:15:00",4500.67
"2023-01-01 18:30:00",4500.51
"2023-01-01 18:45:00",4579.54
"2023-01-01 19:00:00",4801
"2023-01-01 19:15:00",4630.05
"2023-01-01 19:30:00",4500.66
"2023-01-01 19:45:00",3680.55
"2023-01-01 20:00:00",3990.12
"2023-01-01 20:15:00",3680.61
"2023-01-01 20:30:00",3680.77
"2023-01-01 20:45:00",3650.58
"2023-01-01 21:00:00",3192.83
"2023-01-01 21:15:00",2866.25
"2023-01-01 21:30:00",2900.93
"2023-01-01 21:45:00",2810.34
"2023-01-01 22:00:00",3600.56
"2023-01-01 22:15:00",3624.91
"2023-01-01 22:30:00",3680.43
"2023-01-01 22:45:00",3500.75
"2023-01-01 23:00:00",2994.68
"2023-01-01 23:15:00",2810.7
"2023-01-01 23:30:00",3000.75
"2023-01-01 23:45:00",2650.89
"2023-01-02 00:00:00",2450.05
"2023-01-02 00:15:00",2300.5
"2023-01-02 00:30:00",2180.23
"2023-01-02 00:45:00",2400.3
"2023-01-02 01:00:00",2400.95
"2023-01-02 01:15:00",2400.72
"2023-01-02 01:30:00",999.13
"2023-01-02 01:45:00",999.4
"2023-01-02 02:00:00",1710.95
"2023-01-02 02:15:00",1710.38
"2023-01-02 02:30:00",1760.29
"2023-01-02 02:45:00",2006.13
"2023-01-02 03:00:00",2083.79
"2023-01-02 03:15:00",2083.13
"2023-01-02 03:30:00",2116.87
"2023-01-02 03:45:00",2139.15
